cpu,vendor,is_x3d,avg_fps,low_1pct,p02_low,source,review_date,scene,site,note,url,title
Ryzen 7 9800X3D,AMD,1,78.2,64.6,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Core i9-14900KS,Intel,0,70.3,59.8,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Core i9-14900K,Intel,0,69.7,58.8,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 9 9950X3D,AMD,1,69.6,57.8,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 9 9900X3D,AMD,1,68.8,56.9,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 7 9700X,AMD,0,68.7,58.4,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 7 7800X3D,AMD,1,68.5,55.4,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 7 7700X,AMD,0,67.1,57.7,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,unreliable,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Core Ultra 9 285K,Intel,0,66.5,59.1,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 5 5800X3D,AMD,1,64.3,53.1,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 5 7600X3D,AMD,1,63.3,49.9,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 9 7950X3D,AMD,1,62.3,52.3,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 9 9950X,AMD,0,61.6,53.1,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
Ryzen 9 9900X,AMD,0,61.0,51.7,,computerbase_9900x3d_review,2025-04-07,Flight Simulator 2024,ComputerBase,,https://www.computerbase.de/artikel/prozessoren/amd-ryzen-9-9900x3d-test.91949/,AMD Ryzen 9 9900X3D im Test: Gaming-Benchmarks
